fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Awareness-think.v	awareness#believe.v	awareness#conceive.v	awareness#imagine.v	awareness#reckon.v	awareness#thought.n
frame-Bail_decision-fix.v	bail_decision#set.v
frame-Be_in_agreement_on_action-accord.n	be_in_agreement_on_action#treaty.n
frame-Be_in_agreement_on_assessment-agree.v	be_in_agreement_on_assessment#agreement.n	be_in_agreement_on_assessment#concur.v
frame-Be_subset_of-among.prep	be_subset_of#among.c
frame-Be_subset_of-count.v	be_subset_of#number.v
frame-Beat_opponent-beat.v	beat_opponent#trounce.v
frame-Beat_opponent-rout.v	beat_opponent#rout.n
frame-Become_silent-hush.v	become_silent#hush_up.v	become_silent#pipe_down.v	become_silent#quiet.n	become_silent#quiet.v	become_silent#quiet_down.v	become_silent#quieten.v	become_silent#silence.v
frame-Become_silent-sh.intj	become_silent#sh.c
frame-Becoming-get.v	becoming#become.v
frame-Becoming-grow.v	becoming#turn.v
frame-Becoming_a_member-enter.v	becoming_a_member#enlist.v	becoming_a_member#enroll.v
frame-Becoming_aware-come_(upon).v	becoming_aware#come_(across).v
frame-Becoming_aware-espy.v	becoming_aware#chance_(across).v	becoming_aware#chance_(on).v	becoming_aware#descry.v	becoming_aware#detect.v	becoming_aware#discern.v	becoming_aware#discover.v	becoming_aware#discovery.n	becoming_aware#encounter.v	becoming_aware#find.v	becoming_aware#learn.v	becoming_aware#note.v	becoming_aware#notice.v	becoming_aware#observe.v	becoming_aware#perceive.v	becoming_aware#pick_up.v	becoming_aware#recognize.v	becoming_aware#spot.v
frame-Becoming_dry-dry.v	becoming_dry#dehydrate.v	becoming_dry#dry_up.v	becoming_dry#exsiccate.v
frame-Becoming_separated-split.v	becoming_separated#divide.v	becoming_separated#separate.v
frame-Behind_the_scenes-film.v	behind_the_scenes#shoot.v
frame-Being_at_risk-risk.n	being_at_risk#vulnerability.n
frame-Being_at_risk-security.n	being_at_risk#secure.a
frame-Being_at_risk-unsafe.a	being_at_risk#insecure.a
frame-Being_attached-attached.a	being_attached#connected.a
frame-Being_attached-glued.a	being_attached#pasted.a
frame-Being_attached-stick.v	being_attached#adhere.v	being_attached#adhesion.n
frame-Being_attached-tied.a	being_attached#fastened.a
frame-Being_dry-dehydrated.a	being_dry#desiccated.a
frame-Being_dry-dry.a	being_dry#waterless.a
frame-Being_employed-work.v	being_employed#employment.n	being_employed#work.n
frame-Being_in_effect-null.a	being_in_effect#void.a
frame-Being_in_operation-off.prep	being_in_operation#off.c
frame-Being_in_operation-on.prep	being_in_operation#on.c
frame-Being_located-located.a	being_located#situated.a
frame-Being_named-Christian_name.n	being_named#christian_name.n
frame-Being_named-call.v	being_named#name.n
frame-Being_named-forename.n	being_named#first_name.n	being_named#given_name.n
