fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Destiny-fate.n	destiny#destiny.n
frame-Destiny-fated.a	destiny#doomed.a
frame-Destiny-in_the_cards.adv	destiny#in_the_cards.c
frame-Destiny-lot.n	destiny#fortune.n
frame-Destroying-raze.v	destroying#annihilate.v	destroying#annihilation.n	destroying#demolish.v	destroying#demolition.n	destroying#destroy.v	destroying#destruction.n	destroying#destructive.a	destroying#devastate.v	destroying#devastation.n	destroying#dismantle.v	destroying#level.v	destroying#obliterate.v	destroying#obliteration.n
frame-Detaching-untie.v	detaching#unfasten.v
frame-Detaining-intern.v	detaining#internment.n
frame-Detaining-on_the_loose.prep	detaining#on_the_loose.c
frame-Detaining-under_arrest.prep	detaining#under_arrest.c
frame-Differentiation-separate.v	differentiation#differentiate.v	differentiation#discriminate.v	differentiation#discrimination.n	differentiation#distinguish.v	differentiation#tell_apart.v
frame-Difficulty-hard.a	difficulty#difficult.a	difficulty#tough.a
frame-Dimension-across.adv	dimension#across.c
frame-Dimension-around.adv	dimension#around.c
frame-Dimension-big.a	dimension#large.a
frame-Dimension-light((weight)).a	dimension#light((illumination)).a
frame-Dimension-wide.a	dimension#broad.a
frame-Dimension-width.n	dimension#breadth.n
frame-Direction-down.adv	direction#down.c
frame-Direction-east.adv	direction#east.c
frame-Direction-forward.adv	direction#forward.c
frame-Direction-left.adv	direction#left.c
frame-Direction-north.adv	direction#north.c
frame-Direction-outward.adv	direction#outward.c
frame-Direction-right.adv	direction#right.c
frame-Direction-south.adv	direction#south.c
frame-Direction-up.adv	direction#up.c
frame-Discussion-communicate.v	discussion#communication.n
frame-Discussion-confer.v	discussion#conference.n	discussion#consultation.n
frame-Discussion-discuss.v	discussion#discussant.n	discussion#discussion.n
frame-Discussion-negotiate.v	discussion#dialogue.n	discussion#negotiation.n
frame-Discussion-parley.v	discussion#parley.n
frame-Disembarking-debark.v	disembarking#disembark.v	disembarking#disembarkation.n
frame-Disgraceful_situation-shameful.a	disgraceful_situation#disgraceful.a
frame-Dispersal-dispersion.n	dispersal#distribution.n
frame-Dispersal-dissolve.v	dispersal#dissolution.n
frame-Dispersal-strew.v	dispersal#dispersal.n	dispersal#disperse.v	dispersal#disseminate.v	dispersal#distribute.v	dispersal#pass_on.v	dispersal#scatter.v	dispersal#spread.v	dispersal#sprinkle.v
frame-Distinctiveness-characterize.v	distinctiveness#characteristic.a	distinctiveness#characteristic.n
frame-Diversity-heterogeneity.n	diversity#heterogeneous.a
frame-Diversity-mixed_bag.n	diversity#assorted.a	diversity#assortment.n	diversity#miscellany.n
frame-Diversity-range.n	diversity#scope.n
frame-Diversity-uniformity.n	diversity#uniform.a
frame-Diversity-variety.n	diversity#diverse.a	diversity#diverseness.n	diversity#diversity.n	diversity#multifarious.a	diversity#multifariousness.n
frame-Documents-accord.n	documents#agreement.n
frame-Documents-contract.n	documents#contractual.a
frame-Documents-deed.n	documents#title.n
frame-Documents-papers.n	documents#document.n
frame-Documents-permit.n	documents#certificate.n	documents#licence.n
frame-Documents-ruling.n	documents#opinion.n
frame-Documents-will.n	documents#testament.n
frame-Dodging-dodge.v	dodging#sidestep.v
frame-Domain-culturally.adv	domain#culturally.c
frame-Domain-economically.adv	domain#economically.c
frame-Domain-emotionally.adv	domain#emotionally.c
frame-Domain-financially.adv	domain#financially.c
frame-Domain-geographically.adv	domain#geographically.c
frame-Domain-historically.adv	domain#historically.c
frame-Domain-in_terms.prep	domain#in_terms.c
frame-Domain-legally.adv	domain#legally.c
frame-Domain-psychologically.adv	domain#psychologically.c
frame-Domain-socially.adv	domain#socially.c
frame-Dominate_competitor-dominate.v	dominate_competitor#dominant.a	dominate_competitor#domination.n
frame-Dominate_situation-dominate.v	dominate_situation#predominate.v
frame-Dominate_situation-domination.n	dominate_situation#dominant.a
frame-Dough_rising-rise.v	dough_rising#prove.v
frame-Dressing-don.v	dressing#put_on.v
frame-Dunking-dip.v	dunking#dunk.v
frame-Duplication-duplicate.n	duplication#duplication.n
frame-Duplication-duplicate.v	duplication#reduplicate.v	duplication#replica.n	duplication#replicate.v
frame-Duplication-run_off.v	duplication#photocopy.n	duplication#photocopy.v
frame-Duration_attribute-abiding.a	duration_attribute#enduring.a	duration_attribute#lasting.a	duration_attribute#persistent.a
frame-Duration_attribute-brief.a	duration_attribute#ephemeral.a	duration_attribute#momentary.a
frame-Duration_attribute-eternal.a	duration_attribute#perpetual.a
frame-Duration_attribute-lengthy.a	duration_attribute#extended.a
frame-Earnings_and_losses-net.n	earnings_and_losses#earnings.n	earnings_and_losses#profit.n
frame-Eclipse-befog.v	eclipse#becloud.v	eclipse#obscure.v
frame-Eclipse-block.v	eclipse#obstruct.v	eclipse#occlude.v
frame-Eclipse-cover.v	eclipse#enshroud.v	eclipse#shroud.v
frame-Eclipse-eclipse.n	eclipse#occultation.n
frame-Eclipse-hide.v	eclipse#blot_out.v	eclipse#conceal.v
frame-Eclipse-masked.a	eclipse#cloaked.a
frame-Economy-economy.n	economy#economic.a
frame-Education_teaching-coach.v	education_teaching#educate.v	education_teaching#education.n	education_teaching#educational.a	education_teaching#instruct.v	education_teaching#instruction.n	education_teaching#learn.v	education_teaching#teach.v	education_teaching#teacher.n	education_teaching#train.v	education_teaching#training.n
frame-Education_teaching-tutor.v	education_teaching#tutor.n
frame-Electricity-electric_power.n	electricity#electrical_power.n
frame-Electricity-electricity.n	electricity#electric.a	electricity#electrical.a	electricity#photoelectric.a	electricity#photoelectricity.n
frame-Electricity-hydroelectricity.n	electricity#hydroelectric.a
frame-Elusive_goal-elude.v	elusive_goal#evade.v
frame-Emitting-emit.v	emitting#exhale.v	emitting#give_off.v
frame-Emitting-secrete.v	emitting#discharge.v
frame-Emitting-void.v	emitting#excrete.v
frame-Emotion_active-fret.v	emotion_active#fuss.v
frame-Emotion_active-obsess.v	emotion_active#obsession.n
frame-Emotion_directed-abashed.a	emotion_directed#chagrined.a
frame-Emotion_directed-agony.n	emotion_directed#anguish.n
frame-Emotion_directed-all_about.prep	emotion_directed#all_about.c
frame-Emotion_directed-anger.n	emotion_directed#angry.a
frame-Emotion_directed-anguished.a	emotion_directed#tormented.a
frame-Emotion_directed-baffled.a	emotion_directed#befuddled.a	emotion_directed#bewildered.a	emotion_directed#disoriented.a
frame-Emotion_directed-bafflement.n	emotion_directed#bewilderment.n	emotion_directed#mystification.n	emotion_directed#puzzlement.n	emotion_directed#stupefaction.n
frame-Emotion_directed-blue.a	emotion_directed#crushed.a	emotion_directed#depressed.a	emotion_directed#downcast.a	emotion_directed#downhearted.a	emotion_directed#low-spirited.a	emotion_directed#lugubrious.a
frame-Emotion_directed-chagrin.n	emotion_directed#mortification.n
frame-Emotion_directed-concern.n	emotion_directed#interest.n
frame-Emotion_directed-discomfited.a	emotion_directed#disappointed.a
frame-Emotion_directed-discomfiture.n	emotion_directed#disconcertion.n
frame-Emotion_directed-discouraged.a	emotion_directed#disheartened.a
frame-Emotion_directed-dismay.n	emotion_directed#dejection.n	emotion_directed#discouragement.n
frame-Emotion_directed-disquiet.n	emotion_directed#anxious.a	emotion_directed#nervous.a
frame-Emotion_directed-excitement.n	emotion_directed#exhilaration.n
frame-Emotion_directed-fury.n	emotion_directed#enraged.a	emotion_directed#exasperation.n	emotion_directed#furious.a	emotion_directed#infuriated.a	emotion_directed#mad.a	emotion_directed#sore.a
frame-Emotion_directed-glee.n	emotion_directed#gleeful.a	emotion_directed#jubilant.a
frame-Emotion_directed-grief.n	emotion_directed#despondency.n	emotion_directed#despondent.a	emotion_directed#disconsolate.a	emotion_directed#heartbreak.n	emotion_directed#heartbroken.a	emotion_directed#inconsolable.a
frame-Emotion_directed-horror.n	emotion_directed#revulsion.n
frame-Emotion_directed-incensed.a	emotion_directed#indignant.a
frame-Emotion_directed-mortified.a	emotion_directed#embarrassed.a	emotion_directed#humiliated.a
frame-Emotion_directed-perplexity.n	emotion_directed#perplexed.a
frame-Emotion_directed-rattled.a	emotion_directed#flustered.a	emotion_directed#perturbed.a
frame-Emotion_directed-riled.a	emotion_directed#annoyed.a	emotion_directed#irritated.a	emotion_directed#miffed.a	emotion_directed#nettled.a	emotion_directed#peeved.a
frame-Emotion_directed-shocked.a	emotion_directed#appalled.a	emotion_directed#dismayed.a
frame-Emotion_directed-sorrow.n	emotion_directed#mournful.a	emotion_directed#sad.a	emotion_directed#sadness.n	emotion_directed#sorrowful.a
frame-Emotion_directed-stunned.a	emotion_directed#astonished.a	emotion_directed#astounded.a
frame-Emotion_directed-stupefied.a	emotion_directed#flabbergasted.a
frame-Emotion_directed-sympathize.v	emotion_directed#sympathetic.a	emotion_directed#sympathy.n
frame-Emotion_directed-upset.a	emotion_directed#disquieted.a	emotion_directed#distressed.a	emotion_directed#worried.a
frame-Emotion_directed-vexation.n	emotion_directed#annoyance.n
frame-Emotion_directed-vexed.a	emotion_directed#harried.a
frame-Emotion_directed-wretched.a	emotion_directed#miserable.a
frame-Emotions_by_stimulus-joyful.a	emotions_by_stimulus#jubilant.a
frame-Emotions_of_mental_activity-enjoy.v	emotions_of_mental_activity#delight.n	emotions_of_mental_activity#delight_(in).v	emotions_of_mental_activity#enjoyment.n	emotions_of_mental_activity#pleasure.n	emotions_of_mental_activity#relish.v	emotions_of_mental_activity#savour.v
frame-Employing-employee.n	employing#employer.n	employing#employment.n
frame-Emptying-bone.v	emptying#debone.v
frame-Emptying-decontaminate.v	emptying#decontamination.n
frame-Emptying-disarm.v	emptying#disarmament.n
frame-Emptying-peel.v	emptying#skin.v
frame-Emptying-pit.v	emptying#stone.v
frame-Emptying-void.v	emptying#empty.v	emptying#emptying.n	emptying#evacuate.v	emptying#purge.v
frame-Encoding-put.v	encoding#cast.v	encoding#couch.v	encoding#frame.v
frame-Encoding-word.v	encoding#expression.n	encoding#formulate.v	encoding#formulation.n	encoding#phrase.v	encoding#phrasing.n	encoding#wording.n
frame-Endangering-imperil.v	endangering#endanger.v	endangering#endangerment.n	endangering#jeopardise.v
frame-Enforcing-enforce.v	enforcing#enforcement.n
frame-Escaping-escape.v	escaping#fly_the_coop.v	escaping#scarper.v
frame-Estimated_value-estimate.n	estimated_value#estimation.n
frame-Estimating-guess.v	estimating#estimate.v	estimating#estimation.n
frame-Evading-elude.v	evading#elusive.a	evading#evasion.n
frame-Evading-flee.v	evading#get_away.v
frame-Evaluative_comparison-compare.v	evaluative_comparison#comparable.a
frame-Evaluative_comparison-equal.v	evaluative_comparison#match.n	evaluative_comparison#match.v	evaluative_comparison#rival.v
frame-Event-go_on.v	event#happen.v	event#occur.v	event#take_place.v
frame-Event_instance-once.adv	event_instance#once.c
frame-Event_instance-twice.adv	event_instance#twice.c
frame-Evidence-from.prep	evidence#from.c
frame-Evidence-mean.v	evidence#imply.v
frame-Evidence-show.v	evidence#attest.v	evidence#confirm.v	evidence#corroborate.v	evidence#demonstrate.v	evidence#evidence.n	evidence#evidence.v	evidence#illustrate.v	evidence#prove.v	evidence#substantiate.v	evidence#support.v	evidence#testify.v	evidence#verify.v
frame-Evoking-evoke.v	evoking#conjure.v	evoking#evocation.n
frame-Evoking-recall.v	evoking#evocative.a
frame-Evoking-remind.v	evoking#reminder.n
frame-Examination-test.v	examination#exam.n	examination#examination.n	examination#examine.v	examination#test.n
frame-Exchange-change.v	exchange#exchange.v
frame-Exchange-swap.v	exchange#swap.n	exchange#switch.v	exchange#trade.n	exchange#trade.v
frame-Exchange_currency-convert.v	exchange_currency#exchange.v
frame-Exclude_member-excommunicate.v	exclude_member#excommunication.n
frame-Excreting-burp.v	excreting#belch.v
frame-Excreting-pee.v	excreting#piss.v	excreting#urinate.v
frame-Excreting-puke.v	excreting#regurgitate.v	excreting#retch.v	excreting#spew.v	excreting#throw_up.v	excreting#vomit.v
frame-Excreting-shit.v	excreting#defecate.v	excreting#evacuate.v	excreting#void.v
frame-Excreting-sweat.v	excreting#perspiration.n	excreting#perspire.v	excreting#sweat.n
frame-Execute_plan-implement.v	execute_plan#effect_((into_effect)).n	execute_plan#implementation.n
frame-Execution-hang.v	execution#hanging.n
frame-Execution-put_to_death.v	execution#execution.n	execution#executioner.n
frame-Exemplar-image.n	exemplar#epitome.n	exemplar#prototype.n
frame-Exemplar-model.n	exemplar#exemplar.n
frame-Exercising-exercise.v	exercising#exercise.n	exercising#work_out.v
frame-Existence-exist.v	existence#existence.n	existence#real.a
frame-Expansion-dilate.v	expansion#enlarge.v
frame-Expansion-expansion.n	expansion#enlargement.n
frame-Expansion-shrink.v	expansion#contract.v
frame-Expectation-await.v	expectation#anticipate.v	expectation#expect.v	expectation#expectation.n
frame-Expectation-predict.v	expectation#prediction.n	expectation#premonition.n
frame-Expected_location_of_person-in.prep	expected_location_of_person#in.c
frame-Expected_location_of_person-out.prep	expected_location_of_person#out.c
frame-Expensiveness-cheap.a	expensiveness#inexpensive.a
frame-Expensiveness-costly.a	expensiveness#pricey.a
frame-Expensiveness-low-cost.a	expensiveness#affordable.a	expensiveness#low-priced.a
frame-Experience_bodily_harm-abrade.v	experience_bodily_harm#scrape.v
frame-Experience_bodily_harm-pull.v	experience_bodily_harm#sprain.v	experience_bodily_harm#twist.v
frame-Experiencer_focus-delight.v	experiencer_focus#pleasure.n
frame-Experiencer_focus-despair.v	experiencer_focus#desperation.n
frame-Experiencer_focus-dislike.v	experiencer_focus#dislike.n
frame-Experiencer_focus-empathize.v	experiencer_focus#empathetic.a	experiencer_focus#empathy.n
frame-Experiencer_focus-envy.v	experiencer_focus#envy.n
frame-Experiencer_focus-fear.v	experiencer_focus#apprehensive.a	experiencer_focus#dread.n	experiencer_focus#dread.v
frame-Experiencer_focus-feverishly.adv	experiencer_focus#feverish.a	experiencer_focus#feverishly.c
frame-Experiencer_focus-happily.adv	experiencer_focus#happily.c
frame-Experiencer_focus-hate.v	experiencer_focus#abhor.v	experiencer_focus#abhorrence.n	experiencer_focus#abominate.v	experiencer_focus#detest.v	experiencer_focus#detestation.n	experiencer_focus#hatred.n	experiencer_focus#loathe.v	experiencer_focus#loathing.n
frame-Experiencer_focus-love.v	experiencer_focus#enjoy.v	experiencer_focus#enjoyment.n	experiencer_focus#relish.n	experiencer_focus#relish.v	experiencer_focus#savour.v
frame-Experiencer_focus-nettled.a	experiencer_focus#irritated.a
frame-Experiencer_focus-pity.v	experiencer_focus#compassion.n	experiencer_focus#pity.n
frame-Experiencer_focus-resent.v	experiencer_focus#resentment.n
frame-Experiencer_focus-rue.v	experiencer_focus#grieve.v	experiencer_focus#mourn.v	experiencer_focus#regret.n	experiencer_focus#regret.v	experiencer_focus#rueful.a
frame-Experiencer_focus-upset.a	experiencer_focus#worried.a
frame-Experiencer_obj-abash.v	experiencer_obj#embarrass.v
frame-Experiencer_obj-astound.v	experiencer_obj#astonish.v
frame-Experiencer_obj-boggle.v	experiencer_obj#flabbergast.v
frame-Experiencer_obj-charm.v	experiencer_obj#appeal.v	experiencer_obj#beguile.v	experiencer_obj#bewitch.v	experiencer_obj#captivate.v	experiencer_obj#enchant.v	experiencer_obj#enthrall.v	experiencer_obj#exhilarate.v	experiencer_obj#fascinate.v	experiencer_obj#intrigue.v	experiencer_obj#thrill.v	experiencer_obj#tickle.v
frame-Experiencer_obj-cheer.v	experiencer_obj#hearten.v
frame-Experiencer_obj-crush.v	experiencer_obj#demolish.v
frame-Experiencer_obj-depress.v	experiencer_obj#discourage.v	experiencer_obj#dishearten.v
frame-Experiencer_obj-destroy.v	experiencer_obj#devastate.v
frame-Experiencer_obj-faze.v	experiencer_obj#unnerve.v	experiencer_obj#unsettle.v
frame-Experiencer_obj-floor.v	experiencer_obj#outrage.v	experiencer_obj#shock.v	experiencer_obj#shocker.n	experiencer_obj#traumatize.v
frame-Experiencer_obj-fulfill.v	experiencer_obj#gratify.v	experiencer_obj#satisfy.v
frame-Experiencer_obj-grate.v	experiencer_obj#rankle.v
frame-Experiencer_obj-irk.v	experiencer_obj#gall.v
frame-Experiencer_obj-mortify.v	experiencer_obj#humiliate.v
frame-Experiencer_obj-pacify.v	experiencer_obj#conciliate.v	experiencer_obj#mollify.v	experiencer_obj#placate.v
frame-Experiencer_obj-please.v	experiencer_obj#delight.v	experiencer_obj#gladden.v
frame-Experiencer_obj-repel.v	experiencer_obj#revolt.v	experiencer_obj#sicken.v
frame-Experiencer_obj-rile.v	experiencer_obj#aggravate.v	experiencer_obj#annoy.v	experiencer_obj#arouse.v	experiencer_obj#enrage.v	experiencer_obj#exasperate.v	experiencer_obj#harass.v	experiencer_obj#incense.v	experiencer_obj#infuriate.v	experiencer_obj#irritate.v	experiencer_obj#nettle.v
frame-Experiencer_obj-scare.v	experiencer_obj#frighten.v	experiencer_obj#terrify.v
frame-Experiencer_obj-solace.v	experiencer_obj#comfort.v	experiencer_obj#console.v	experiencer_obj#soothe.v
frame-Experiencer_obj-stir.v	experiencer_obj#excite.v	experiencer_obj#shake.v	experiencer_obj#stimulate.v
frame-Experiencer_obj-surprise.v	experiencer_obj#surprise.n
frame-Experiencer_obj-upset.v	experiencer_obj#discomfit.v	experiencer_obj#disconcert.v	experiencer_obj#disturb.v	experiencer_obj#fluster.v	experiencer_obj#perturb.v	experiencer_obj#trouble.n	experiencer_obj#trouble.v
frame-Experiencer_obj-vex.v	experiencer_obj#amaze.v	experiencer_obj#baffle.v	experiencer_obj#bewilder.v	experiencer_obj#confuse.v	experiencer_obj#flummox.v	experiencer_obj#mystify.v	experiencer_obj#nonplus.v	experiencer_obj#perplex.v	experiencer_obj#puzzle.v	experiencer_obj#stupefy.v
frame-Experiencer_obj-worry.v	experiencer_obj#frustrate.v	experiencer_obj#torment.v
frame-Experiencer_obj-wound.v	experiencer_obj#offend.v
frame-Expertise-ace.a	expertise#crack.a
frame-Expertise-ace.n	expertise#adept.a	expertise#adept.n	expertise#adeptness.n	expertise#expert.a	expertise#expertise.n	expertise#master.n	expertise#maven.n	expertise#proficiency.n	expertise#proficient.a	expertise#skilful.a	expertise#virtuoso.n	expertise#whiz.n	expertise#wizard.n
frame-Expertise-amateur.a	expertise#inexpert.a
frame-Expertise-awful.a	expertise#dreadful.a	expertise#terrible.a
frame-Expertise-competence.n	expertise#competent.a
frame-Expertise-conversance.n	expertise#conversant.a	expertise#familiar.a
frame-Expertise-excel.v	expertise#excellent.a	expertise#splendid.a
frame-Expertise-experience.n	expertise#experienced.a
frame-Expertise-ineptness.n	expertise#incompetence.n	expertise#incompetent.a	expertise#ineptitude.n
frame-Expertise-terrific.a	expertise#fantastic.a	expertise#tremendous.a	expertise#wonderful.a
frame-Exporting-export.v	exporting#export_((act)).n	exporting#export_((entity)).n	exporting#exportation.n
frame-Expressing_publicly-voice.v	expressing_publicly#articulate.v	expressing_publicly#give_voice.v
frame-Extradition-extradite.v	extradition#extradition.n
frame-Facial_expression-frown.n	facial_expression#scowl.n
frame-Facial_expression-grin.n	facial_expression#smile.n
frame-Facial_expression-look.n	facial_expression#expression.n
frame-Fairness_evaluation-fairly.adv	fairness_evaluation#fair.a	fairness_evaluation#fairly.c
frame-Fairness_evaluation-unfairly.adv	fairness_evaluation#inequitable.a	fairness_evaluation#unfair.a	fairness_evaluation#unfairly.c	fairness_evaluation#unjust.a
frame-Fairness_evaluation-unjustly.adv	fairness_evaluation#unjustly.c
frame-Fall_asleep-nod_off.v	fall_asleep#doze_off.v	fall_asleep#drift_off.v
frame-Fall_asleep-pass_out.v	fall_asleep#black_out.v
frame-Fame-fame.n	fame#famous.a	fame#renown.n	fame#renowned.a
frame-Fame-infamous.a	fame#notorious.a
frame-Fear-fear.n	fear#apprehension.n	fear#dread.n	fear#frightened.a	fear#terrified.a	fear#terror.n
frame-Feeling-feel.v	feeling#experience.v	feeling#feelings.n
frame-Feigning-fake.v	feigning#affect.v	feigning#counterfeit.v	feigning#feign.v	feigning#pretend.v	feigning#simulate.v
frame-Fields-art.n	fields#artistic.a
frame-Fields-in.prep	fields#in.c
frame-Fighting_activity-fray.n	fighting_activity#affray.n
frame-Filling-adorn.v	filling#embellish.v
frame-Filling-coat.v	filling#surface.v
frame-Filling-dab.v	filling#spatter.v	filling#splash.v	filling#splatter.v
frame-Filling-daub.v	filling#plaster.v	filling#smear.v
frame-Filling-dust.v	filling#scatter.v	filling#spread.v	filling#sprinkle.v	filling#strew.v
frame-Filling-jam.v	filling#cram.v	filling#heap.v	filling#pack.v	filling#pile.v
frame-Filling-sow.v	filling#seed.v
frame-Fining-fine.v	fining#amerce.v	fining#fine.n	fining#mulct.v	fining#ticket.n	fining#ticket.v
frame-Finish_competition-tie.v	finish_competition#draw.n	finish_competition#tie.n
frame-Finish_competition-victory.n	finish_competition#victorious.a
frame-Finish_competition-win.v	finish_competition#victor.n	finish_competition#win.n	finish_competition#winner.n
frame-Firing-can.v	firing#dismiss.v	firing#dismissal.n	firing#fire.v	firing#firing.n	firing#sack.v	firing#terminate.v
frame-First_experience-first.adv	first_experience#first.c
frame-First_rank-lead.n	first_rank#leader.n
frame-First_rank-main.a	first_rank#chief.a	first_rank#primary.a	first_rank#principal.a
frame-Fleeing-flee.v	fleeing#run_away.v
frame-Fluidic_motion-drip.v	fluidic_motion#dribble.v	fluidic_motion#trickle.v
frame-Fluidic_motion-jet.v	fluidic_motion#gush.v	fluidic_motion#spout.v	fluidic_motion#spurt.v	fluidic_motion#squirt.v
frame-Fluidic_motion-ooze.v	fluidic_motion#seep.v
frame-Fluidic_motion-run.v	fluidic_motion#course.v	fluidic_motion#flow.v	fluidic_motion#stream.v
frame-Food-cookie.n	food#biscuit.n
frame-Food-sugar.n	food#cabbage.n	food#lettuce.n
frame-Forging-fake.v	forging#counterfeit.v	forging#fake.n	forging#falsify.v	forging#forge.v	forging#forgery_((act)).n	forging#forgery_((entity)).n
frame-Forgiveness-excuse.v	forgiveness#condone.v	forgiveness#forgive.v	forgiveness#forgiveness.n	forgiveness#pardon.v
frame-Forgoing-abstention.n	forgoing#abstinence.n
frame-Forgoing-forbear.v	forgoing#forbearance.n	forgoing#refrain.v
frame-Forming_relationships-betroth.v	forming_relationships#betrothal.n	forming_relationships#engagement.n
frame-Forming_relationships-divorce.v	forming_relationships#divorce.n
frame-Forming_relationships-wed.v	forming_relationships#marry.v	forming_relationships#marry_(into).v	forming_relationships#wedding.n
frame-Frequency-all_the_time.adv	frequency#all_the_time.c
frame-Frequency-always.adv	frequency#always.c
frame-Frequency-annual.a	frequency#yearly.a
frame-Frequency-at_times.adv	frequency#at_times.c	frequency#occasional.a	frequency#occasionally.c	frequency#once_in_a_while.c
frame-Frequency-constantly.adv	frequency#constantly.c
frame-Frequency-daily.adv	frequency#daily.a	frequency#daily.c
frame-Frequency-every.prep	frequency#every.c
frame-Frequency-every_once_in_a_while.adv	frequency#every_once_in_a_while.c
frame-Frequency-never.adv	frequency#never.c
frame-Frequency-often.adv	frequency#frequency.n	frequency#frequent.a	frequency#frequently.c	frequency#often.c
frame-Frequency-regularly.adv	frequency#regularly.c
frame-Frequency-repeated.a	frequency#recurrent.a
frame-Frequency-seldom.adv	frequency#infrequent.a	frequency#infrequently.c	frequency#rare.a	frequency#seldom.c
frame-Frequency-sometimes.adv	frequency#sometimes.c
frame-Frequency-time_to_time.adv	frequency#time_to_time.c
frame-Frugality-austerity.n	frugality#austere.a	frugality#spartan.a
frame-Frugality-husband.v	frugality#economical.a	frugality#economy.n	frugality#frugal.a	frugality#frugality.n	frugality#parsimonious.a	frugality#parsimony.n	frugality#sparing.a	frugality#thrift.n	frugality#thrifty.a
frame-Frugality-waste.v	frugality#extravagant.a	frugality#profligacy.n	frugality#profligate.a	frugality#squander.v	frugality#wasteful.a
frame-Fullness-emptiness.n	fullness#empty.a
frame-Fullness-fullness.n	fullness#full.a
frame-Gathering_up-amass.v	gathering_up#collect.v
frame-Gathering_up-gather.v	gathering_up#assemble.v
frame-Gesture-motion.v	gesture#gesticulate.v	gesture#gesture.v
frame-Gesture-signal.v	gesture#signal.n
frame-Gesture-wave.v	gesture#beckon.v
frame-Getting-get.v	getting#acquire.v	getting#acquisition_((act)).n	getting#acquisition_((entity)).n
frame-Getting-secure.v	getting#procure.v	getting#procurement_((act)).n
frame-Getting-win.v	getting#gain.v
frame-Getting_up-rise.v	getting_up#get_up.v
frame-Giving-gift.v	giving#contribute.v	giving#contribution.n	giving#donate.v	giving#donation.n	giving#donor.n	giving#gift.n	giving#give.v
frame-Giving-give_out.v	giving#hand_out.v	giving#pass_out.v
frame-Giving-hand.v	giving#pass.v
frame-Giving-will.v	giving#bequeath.v	giving#leave.v
frame-Giving_in-yield.v	giving_in#relent.v
frame-Gizmo-gadget.n	gizmo#appliance.n	gizmo#contraption.n
frame-Goal-into.prep	goal#into.c
frame-Goal-to.prep	goal#to.c
frame-Grant_permission-clear.v	grant_permission#authorize.v
frame-Grant_permission-let.v	grant_permission#allow.v	grant_permission#approve.v	grant_permission#okay.v	grant_permission#permit.v	grant_permission#sanction.v
frame-Grasp-grasp.v	grasp#apprehend.v	grasp#comprehend.v	grasp#comprehensible.a	grasp#grasp.n	grasp#graspable.a	grasp#intelligible.a	grasp#understand.v
frame-Grinding-chew.v	grinding#masticate.v	grinding#mastication.n
frame-Grinding-mill.v	grinding#crush.v	grinding#grate.v	grinding#grind.v	grinding#pulverize.v
frame-Grooming-brush_((hair)).v	grooming#brush_((teeth)).v
frame-Grooming-lave.v	grooming#wash.v
frame-Grooming-manicure.v	grooming#manicure.n
frame-Ground_up-powdered.a	ground_up#pulverized.a
frame-Guilt_or_innocence-guilt.n	guilt_or_innocence#guilty.a
frame-Guilt_or_innocence-innocence.n	guilt_or_innocence#innocent.a
frame-Hair_configuration-blond.a	hair_configuration#blonde.a
frame-Hair_configuration-braid.n	hair_configuration#plait.n	hair_configuration#tress.n
frame-Hair_configuration-curl.v	hair_configuration#curl.n	hair_configuration#curly.a	hair_configuration#lock.n	hair_configuration#wave.n	hair_configuration#wavy.a
frame-Hair_configuration-hairdo.n	hair_configuration#hairstyle.n
frame-Halt-halt.v	halt#stop.v
frame-Halt-to_a_halt.prep	halt#to_a_halt.c
frame-Halt-to_a_stop.prep	halt#to_a_stop.c
frame-Have_as_requirement-need.v	have_as_requirement#demand.v	have_as_requirement#require.v	have_as_requirement#take.v
frame-Have_associated-have.v	have_associated#have_got.v
frame-Health_response-allergy.n	health_response#allergic.a
frame-Health_response-sensitivity.n	health_response#sensitive.a
frame-Health_response-susceptibility.n	health_response#susceptible.a
frame-Hiding_objects-hide.v	hiding_objects#conceal.v
frame-Hiding_objects-mask.v	hiding_objects#camouflage.v
frame-Hindering-delay.v	hindering#retard.v
frame-Hindering-hamper.v	hindering#constrain.v	hindering#encumber.v	hindering#encumbrance.n	hindering#handicap.v	hindering#hinder.v	hindering#hindrance.n	hindering#impede.v	hindering#impediment.n	hindering#interference.n	hindering#trammel.v
frame-Hindering-obstruct.v	hindering#obstruction_act.n	hindering#obstruction_entity.n	hindering#obstructive.a
frame-Hiring-sign.v	hiring#contract.v	hiring#sign_on.v	hiring#sign_up.v
frame-Historic_event-historic.a	historic_event#historic_((entity)).a
frame-Hit_or_miss-wide.adv	hit_or_miss#wide.c
frame-Holding_off_on-wait.v	holding_off_on#hold_off.v
frame-Hospitality-hospitality.n	hospitality#hospitable.a
frame-Hostile_encounter-brawl.v	hostile_encounter#battle.n	hostile_encounter#battle.v	hostile_encounter#brawl.n	hostile_encounter#combat.n	hostile_encounter#conflict.n	hostile_encounter#fight.n	hostile_encounter#fight.v	hostile_encounter#fighting.n	hostile_encounter#row.n	hostile_encounter#struggle.n	hostile_encounter#struggle.v	hostile_encounter#wrangling.n
frame-Hostile_encounter-confront.v	hostile_encounter#confrontation.n	hostile_encounter#showdown.n
frame-Hostile_encounter-duel.v	hostile_encounter#duel.n
